element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
276,64,7,1,FALSE,2019-09-28T14:00:00Z,2,0,7,90,0,0,0,2,0,0,0,0,0,0,0,17,20.4,23.3,2.0,4.6,45,-624,30678,1941,2565
276,77,2,0,TRUE,2019-10-05T14:00:00Z,1,5,8,90,0,0,0,5,0,0,0,0,0,0,0,14,18.0,18.2,11.0,4.7,45,-3021,27833,1038,4059
548,69,17,0,FALSE,2019-09-28T14:00:00Z,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0
548,78,6,0,TRUE,2019-10-06T13:00:00Z,1,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,2051,3388,2259,208
79,2,15,0,TRUE,2019-08-10T14:00:00Z,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,369,0,0
79,12,2,0,FALSE,2019-08-17T14:00:00Z,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-49,398,25,74
79,22,11,0,TRUE,2019-08-25T13:00:00Z,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-50,370,14,64
79,36,9,0,FALSE,2019-08-31T14:00:00Z,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-18,363,21,39
79,42,8,2,TRUE,2019-09-15T13:00:00Z,3,1,5,76,0,0,0,1,0,0,0,0,0,0,0,8,7.2,1.0,0.0,0.8,50,-23,346,16,39
79,59,16,1,FALSE,2019-09-20T19:00:00Z,1,3,6,13,0,0,0,0,0,0,0,0,0,0,0,4,1.2,0.1,0.0,0.1,50,662,1166,765,103
79,62,19,1,TRUE,2019-09-28T14:00:00Z,2,2,7,1,0,0,0,0,0,0,0,0,0,0,0,3,0.4,0.2,0.0,0.1,50,181,1460,390,209
79,71,1,0,FALSE,2019-10-06T13:00:00Z,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-1,1569,251,252
225,9,6,5,TRUE,2019-08-11T15:30:00Z,4,0,1,90,0,0,1,0,0,0,0,1,0,0,0,24,19.0,0.1,0.0,1.9,55,0,69797,0,0
225,20,20,2,FALSE,2019-08-19T19:00:00Z,1,1,2,90,0,0,0,1,0,0,0,0,0,0,0,14,17.0,0.9,0.0,1.8,55,-4544,78371,3072,7616
225,25,7,1,TRUE,2019-08-24T14:00:00Z,1,2,3,90,0,0,0,2,0,0,0,0,0,0,0,13,11.0,2.8,0.0,1.4,55,-2917,80213,2994,5911
225,39,16,2,FALSE,2019-08-31T11:30:00Z,1,1,4,90,0,0,0,1,0,0,0,0,0,0,0,17,20.8,11.3,0.0,3.2,55,-4676,78515,2203,6879
225,45,9,8,TRUE,2019-09-14T14:00:00Z,1,0,5,90,0,0,1,0,0,0,0,0,0,0,2,26,17.0,0.4,0.0,1.7,54,-3208,78488,3713,6921
225,60,19,1,FALSE,2019-09-22T13:00:00Z,2,0,6,90,0,0,0,2,0,0,0,0,0,0,0,13,11.0,10.7,0.0,2.2,54,12597,96253,16565,3968
225,67,1,2,TRUE,2019-09-30T19:00:00Z,1,1,7,90,0,0,0,1,0,0,0,0,0,0,0,12,20.4,0.5,0.0,2.1,54,-4701,92350,4308,9009
225,76,13,0,FALSE,2019-10-06T15:30:00Z,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,1746,96960,6533,4787
241,9,6,2,TRUE,2019-08-11T15:30:00Z,4,0,1,85,0,0,1,0,0,0,0,1,0,0,0,2,1.2,13.3,2.0,1.7,65,0,77366,0,0
241,20,20,2,FALSE,2019-08-19T19:00:00Z,1,1,2,80,0,0,0,1,0,0,0,0,0,0,0,9,5.6,3.6,2.0,1.1,65,6802,106173,19786,12984
241,25,7,1,TRUE,2019-08-24T14:00:00Z,1,2,3,55,0,0,0,1,0,0,0,0,0,0,0,1,4.8,14.3,0.0,1.9,65,-7556,102946,9923,17479
241,39,16,1,FALSE,2019-08-31T11:30:00Z,1,1,4,22,0,0,0,0,0,0,0,0,0,0,0,3,1.2,12.2,13.0,2.6,65,-12761,93843,6907,19668
241,45,9,0,TRUE,2019-09-14T14:00:00Z,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,64,-21625,74166,2330,23955
241,60,19,1,FALSE,2019-09-22T13:00:00Z,2,0,6,29,0,0,0,1,0,0,0,0,0,0,0,3,0.0,0.8,18.0,1.9,64,-8365,66944,1792,10157
241,67,1,1,TRUE,2019-09-30T19:00:00Z,1,1,7,73,0,0,0,1,0,0,0,1,0,0,0,0,0.0,13.5,2.0,1.5,64,-2780,65683,2975,5755
241,76,13,0,FALSE,2019-10-06T15:30:00Z,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,64,-4346,61983,1476,5822
340,6,2,3,TRUE,2019-08-10T16:30:00Z,3,1,1,90,0,0,0,1,0,0,0,0,0,3,0,13,21.4,0.0,0.0,2.1,55,0,514748,0,0
340,16,11,3,FALSE,2019-08-17T16:30:00Z,2,2,2,90,0,0,0,2,0,0,0,0,0,8,0,28,56.6,0.0,0.0,5.7,55,-31914,538741,39438,71352
340,28,13,2,TRUE,2019-08-25T15:30:00Z,0,1,3,90,0,0,0,1,0,0,0,0,0,2,0,12,19.2,0.0,0.0,1.9,55,7053,572671,43660,36607
340,31,1,3,FALSE,2019-09-01T15:30:00Z,2,2,4,90,0,0,0,2,0,0,0,0,0,6,0,20,40.8,0.0,0.0,4.1,55,-34272,548755,19252,53524
340,48,7,8,TRUE,2019-09-14T14:00:00Z,4,0,5,90,0,0,1,0,0,0,0,0,0,6,0,33,42.2,0.0,0.0,4.2,55,-3855,563001,31792,35647
340,56,9,0,FALSE,2019-09-21T11:30:00Z,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,20264,597418,37147,16883
340,69,16,3,TRUE,2019-09-28T14:00:00Z,2,1,7,90,0,0,0,1,0,0,0,0,0,5,0,17,25.8,0.0,0.0,2.6,55,-6852,597483,29985,36837
340,72,4,1,FALSE,2019-10-05T11:30:00Z,3,0,8,8,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-7751,594211,15655,23406
523,6,2,0,TRUE,2019-08-10T16:30:00Z,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,75,0,30815,0,0
523,16,11,1,FALSE,2019-08-17T16:30:00Z,2,2,2,5,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.3,0.0,0.0,75,-6157,34541,3713,9870
523,28,13,1,TRUE,2019-08-25T15:30:00Z,0,1,3,28,0,0,0,0,0,0,0,0,0,0,0,4,2.4,23.6,1.0,2.7,75,-7140,29202,1318,8458
523,31,1,1,FALSE,2019-09-01T15:30:00Z,2,2,4,11,0,0,0,0,0,0,0,0,0,0,0,2,6.4,0.5,0.0,0.7,74,-4940,26004,1011,5951
523,48,7,0,TRUE,2019-09-14T14:00:00Z,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,74,-5851,21038,536,6387
523,56,9,0,FALSE,2019-09-21T11:30:00Z,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,73,-3164,18064,42,3206
523,69,16,0,TRUE,2019-09-28T14:00:00Z,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,73,-1630,16500,38,1668
523,72,4,0,FALSE,2019-10-05T11:30:00Z,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,73,-686,15867,38,724
45,7,18,2,FALSE,2019-08-10T14:00:00Z,0,3,1,63,0,0,1,0,0,0,0,0,0,0,0,8,3.2,1.3,19.0,2.4,55,0,19327,0,0
45,13,19,0,TRUE,2019-08-17T14:00:00Z,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,240,21795,3685,3445
45,23,16,1,TRUE,2019-08-24T14:00:00Z,0,2,3,22,0,0,0,1,0,0,0,0,0,0,0,-3,0.0,0.0,11.0,0.9,55,-3631,18463,1735,5366
45,37,11,0,FALSE,2019-08-31T14:00:00Z,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-4974,13733,821,5795
45,43,5,0,TRUE,2019-09-14T14:00:00Z,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-4219,9559,32,4251
45,58,13,0,FALSE,2019-09-21T16:30:00Z,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-1381,8344,24,1405
45,63,6,0,FALSE,2019-09-28T14:00:00Z,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-937,7429,12,949
45,72,17,0,TRUE,2019-10-05T11:30:00Z,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-473,6984,18,491
115,9,12,0,FALSE,2019-08-11T15:30:00Z,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,65,0,6591,0,0
115,14,9,0,TRUE,2019-08-18T15:30:00Z,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,65,-1383,5930,148,1531
115,26,14,0,FALSE,2019-08-24T11:30:00Z,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,65,-907,5230,77,984
115,33,15,0,TRUE,2019-08-31T14:00:00Z,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,64,-661,4697,72,733
115,50,20,0,FALSE,2019-09-14T14:00:00Z,2,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,64,-456,4332,83,539
115,53,10,0,TRUE,2019-09-22T15:30:00Z,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,64,-186,4189,67,253
115,63,4,0,TRUE,2019-09-28T14:00:00Z,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,64,-164,4069,56,220
115,78,16,0,FALSE,2019-10-06T13:00:00Z,1,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,64,-117,3983,46,163
530,19,16,0,FALSE,2019-08-17T14:00:00Z,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,1228,1840,1527,299
530,24,1,0,TRUE,2019-08-24T16:30:00Z,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-822,1252,132,954
530,32,5,0,FALSE,2019-08-31T16:30:00Z,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-250,1325,80,330
530,44,13,0,TRUE,2019-09-14T11:30:00Z,3,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-129,1500,99,228
530,53,6,0,FALSE,2019-09-22T15:30:00Z,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-85,1543,39,124
530,68,15,0,FALSE,2019-09-28T11:30:00Z,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-85,1597,49,134
530,74,9,0,TRUE,2019-10-05T14:00:00Z,2,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-69,1615,34,103
88,3,16,0,TRUE,2019-08-10T14:00:00Z,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,8088,0,0
88,11,1,0,FALSE,2019-08-17T11:30:00Z,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-747,9436,303,1050
88,30,20,0,FALSE,2019-08-25T15:30:00Z,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-725,9287,298,1023
88,32,10,0,TRUE,2019-08-31T16:30:00Z,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-536,9273,291,827
88,43,4,0,FALSE,2019-09-14T14:00:00Z,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-230,9553,516,746
88,52,14,0,TRUE,2019-09-21T14:00:00Z,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-202,9542,261,463
88,61,2,0,FALSE,2019-09-28T14:00:00Z,2,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-320,9379,268,588
88,73,8,0,TRUE,2019-10-05T14:00:00Z,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-287,9204,128,415
315,3,5,0,FALSE,2019-08-10T14:00:00Z,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,324430,0,0
315,19,10,0,TRUE,2019-08-17T14:00:00Z,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-41446,299229,11315,52761
315,23,4,0,FALSE,2019-08-24T14:00:00Z,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-45894,258414,11112,57006
315,39,12,1,TRUE,2019-08-31T11:30:00Z,1,1,4,28,0,0,0,0,0,0,0,0,0,0,0,0,5.4,2.2,0.0,0.8,49,-41118,221170,7127,48245
315,47,15,1,FALSE,2019-09-14T14:00:00Z,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,48,-17443,208749,11502,28945
315,59,3,0,TRUE,2019-09-20T19:00:00Z,1,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-13004,197574,7533,20537
315,69,17,1,FALSE,2019-09-28T14:00:00Z,2,1,7,2,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,48,-14493,184587,6196,20689
315,78,6,2,TRUE,2019-10-06T13:00:00Z,1,4,8,72,0,0,0,3,0,0,0,0,0,0,0,7,4.2,1.8,2.0,0.8,47,-8172,177507,3884,12056
270,10,1,2,TRUE,2019-08-11T13:00:00Z,0,1,1,66,0,0,0,1,0,0,0,0,0,0,0,8,5.6,1.8,0.0,0.7,50,0,40685,0,0
270,17,14,3,FALSE,2019-08-17T14:00:00Z,3,1,2,16,0,1,0,1,0,0,0,1,0,0,0,9,17.0,11.5,0.0,2.9,50,-264,46594,4053,4317
270,28,17,3,FALSE,2019-08-25T15:30:00Z,0,1,3,90,0,0,1,0,0,0,0,0,0,0,0,6,10.6,0.5,17.0,2.8,50,-5222,42015,1463,6685
270,38,18,2,TRUE,2019-08-31T14:00:00Z,1,1,4,90,0,0,0,1,0,0,0,0,0,0,0,18,25.8,41.7,8.0,7.6,50,549,44154,5242,4693
270,44,10,0,FALSE,2019-09-14T11:30:00Z,3,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-7146,37074,1499,8645
270,58,4,0,TRUE,2019-09-21T16:30:00Z,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-7591,29637,65,7656
270,66,9,2,FALSE,2019-09-29T15:30:00Z,5,0,7,90,0,0,0,5,0,0,0,0,0,0,0,8,12.4,11.2,0.0,2.4,50,-3562,26286,110,3672
270,76,12,3,TRUE,2019-10-06T15:30:00Z,1,0,8,90,0,0,1,0,0,0,0,0,0,0,0,16,22.2,48.0,7.0,7.7,50,-1293,25224,284,1577
155,4,7,0,FALSE,2019-08-10T14:00:00Z,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,773,0,0
155,15,18,0,TRUE,2019-08-17T14:00:00Z,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-171,631,22,193
155,21,2,0,FALSE,2019-08-23T19:00:00Z,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-67,579,9,76
155,35,20,0,TRUE,2019-09-01T13:00:00Z,3,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-51,531,17,68
155,42,3,0,FALSE,2019-09-15T13:00:00Z,3,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-43,493,15,58
155,55,15,0,TRUE,2019-09-21T14:00:00Z,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-18,479,5,23
155,65,11,0,TRUE,2019-09-28T16:30:00Z,1,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-8,473,8,16
155,73,5,0,FALSE,2019-10-05T14:00:00Z,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-12,459,7,19
186,1,14,0,TRUE,2019-08-09T19:00:00Z,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,18316,0,0
186,19,16,0,FALSE,2019-08-17T14:00:00Z,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-4349,16605,451,4800
186,24,1,0,TRUE,2019-08-24T16:30:00Z,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-3156,13714,55,3211
186,32,5,0,FALSE,2019-08-31T16:30:00Z,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-1704,12221,85,1789
186,44,13,0,TRUE,2019-09-14T11:30:00Z,3,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-453,12353,419,872
186,53,6,0,FALSE,2019-09-22T15:30:00Z,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-393,12269,174,567
186,68,15,0,FALSE,2019-09-28T11:30:00Z,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-361,12191,244,605
186,74,9,2,TRUE,2019-10-05T14:00:00Z,2,1,8,90,0,0,0,1,0,0,0,0,0,0,0,18,19.8,0.0,6.0,2.6,53,-198,12209,317,515
85,3,16,6,TRUE,2019-08-10T14:00:00Z,3,0,1,90,0,0,1,0,0,0,0,0,0,0,0,23,14.2,15.3,2.0,3.2,45,0,16279,0,0
85,11,1,1,FALSE,2019-08-17T11:30:00Z,2,1,2,90,0,0,0,2,0,0,0,0,0,0,0,12,10.2,15.4,1.0,2.7,45,707,20927,2336,1629
85,30,20,2,FALSE,2019-08-25T15:30:00Z,1,1,3,90,0,0,0,1,0,0,0,0,0,0,0,13,31.6,29.6,0.0,6.1,45,1983,24396,4941,2958
85,32,10,1,TRUE,2019-08-31T16:30:00Z,0,3,4,90,0,0,0,3,0,0,0,0,0,0,0,11,10.6,14.1,0.0,2.5,45,4264,29711,8458,4194
85,43,4,2,FALSE,2019-09-14T14:00:00Z,1,1,5,90,0,0,0,1,0,0,0,0,0,0,0,12,23.2,1.8,2.0,2.7,45,19089,50491,25349,6260
85,52,14,6,TRUE,2019-09-21T14:00:00Z,2,0,6,90,0,0,1,0,0,0,0,0,0,0,0,25,18.6,40.0,2.0,6.1,45,7940,58515,12233,4293
